Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
FH	1	BIALLELIC, autosomal or pseudoautosomal	Fumarase deficiency, 606812;Seizures OMIM:150800,OMIM:606812,ORPHA:523,ORPHA:29072	described as progressive					
FIG4	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 11 OMIM:612577;amyotrophic lateral sclerosis type 11 MONDO:0012945;Charcot-Marie-Tooth disease, type 4J, OMIM:611228;Charcot-Marie-Tooth disease type 4J MONDO:0012640;Yunis Varon syndrome OMIM:216340;Yunis-Varon syndrome MONDO:0008995	Yunis Varon syndrome  --> too many systemic defects?					
FOLR1	1	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration due to cerebral folate transport deficiency, 613068;Folate receptor alpha deficiency						
FRRS1L	1	autosomal recessive	Developmental and epileptic encephalopathy 37 ORPHA:725,ORPHA:88616,OMIM:616981						
FTL	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodegeneration with brain iron accumulation 3 OMIM:606159,OMIM:600886,ORPHA:254704,OMIM:615604,ORPHA:157846,ORPHA:163						
FUS	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic lateral sclerosis 6, autosomal recessive, with or without frontotemporal;Amyotrophic Lateral Sclerosis, Dominant ORPHA:300605,ORPHA:803,OMIM:608030,ORPHA:99967,OMIM:614782,ORPHA:275872						
GABRB1	1	autosomal dominant	Developmental and epileptic encephalopathy 45 OMIM:617153						
GABRG2	1	autosomal dominant	Developmental and epileptic encephalopathy 74 ORPHA:1945,OMIM:607681,ORPHA:33069,ORPHA:442835,ORPHA:64280,OMIM:618396,ORPHA:36387						
GALC	1	BIALLELIC, autosomal or pseudoautosomal	Krabbe disease, ORPHA:206436,ORPHA:206443,ORPHA:206448,OMIM:245200						
GAMT	1	autosomal recessive	Cerebral creatine deficiency syndrome 2 ORPHA:382,OMIM:612736	oral administration of creatine monohydrate					
GBA	1	autosomal recessive	Gaucher disease  ORPHA:85212,OMIM:127750,OMIM:231000,ORPHA:77261,OMIM:230900,ORPHA:77259,OMIM:608013,OMIM:231005,ORPHA:411602,ORPHA:77260,OMIM:230800,OMIM:168600,ORPHA:2072	some of the subtypes may have too severe systemic phenotypes					
GBA2	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 46, autosomal recessive, OMIM:614409,ORPHA:352641,ORPHA:320391						
GCDH	1	BIALLELIC, autosomal or pseudoautosomal	Glutaricaciduria, type I ORPHA:25,OMIM:231670						
GCH1	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230;Hyperphenylalaninemia, BH4-deficient, B, 233910;Dopa-Responsive Dystonia (DRD) OMIM:233910,OMIM:128230,ORPHA:98808						
GDAP1	1	autosomal dominant and autosomal recessive 	Charcot-Marie-Tooth disease, OMIM:608340,ORPHA:99948,OMIM:607706,ORPHA:101097,OMIM:607831,ORPHA:99944,OMIM:214400						
GFAP	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	General Leukodystrophy & Mitochondrial Leukoencephalopathy, Autosomal Dominant Ataxia;Alexander disease OMIM:203450						
GJC2	1	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 2, 608804;Spastic paraplegia 44, autosomal recessive, 613206;Lymphedema, hereditary, IC, 613480 ORPHA:79452,OMIM:613480,OMIM:613206,OMIM:608804,ORPHA:320401	progression might be too slow					
GLB1	1	autosomal recessive	GM1-gangliosidosis, type II OMIM:230500,OMIM:253010,OMIM:230650,ORPHA:79255,OMIM:230600	CAVE: has allelic disorders that are not eligible					
GLDC	1	BIALLELIC, autosomal or pseudoautosomal	Glycine encephalopathy, 605899;seizures	progressive disorder, death in infancy					
GLS	1	autosomal recessive	Global developmental delay, progressive ataxia, and elevated glutamine, Developmental and epileptic encephalopathy 71 OMIM:618412,OMIM:618328,OMIM:618339						
GM2A	1	autosomal recessive	GM2-gangliosidosis, AB variant OMIM:272750,ORPHA:309246						
GNAO1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neurodevelopmental disorder with involuntary movements, OMIM:615473,ORPHA:1934,OMIM:617493						
GRID2	1	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 18, ORPHA:363432,OMIM:616204						
GRN	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Frontotemporal Dementia;Clinical syndrome FTLD (Frontotemporal lobar degeneration), NCL OMIM:614706,ORPHA:100070,ORPHA:275864,ORPHA:100069,OMIM:607485						
HARS1	1	autosomal recessive	Usher syndrome type 3B OMIM:616625,OMIM:614504,ORPHA:488333,ORPHA:231183						
HEATR5B	1	BIALLELIC, autosomal or pseudoautosomal	pontocerebellar hypoplasia, MONDO:0020135;intellectual disability, MONDO:0001071;seizures						
HEPACAM	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	General Leukodystrophy & Mitochondrial Leukoencephalopathy;Megalencephalic leukoencephalopathy with subcortical cysts (MLC);Megalencephalic leukoencephalopathy with subcortical cysts 2A;Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation OMIM:604004,OMIM:613925,OMIM:613926	might be too slowly progressive					
HEXA	1	BIALLELIC, autosomal or pseudoautosomal	GM2-gangliosidosis, several forms, 272800;Tay-Sachs disease, 272800						
HEXB	1	BIALLELIC, autosomal or pseudoautosomal	Sandhoff disease, infantile, juvenile, and adult forms, OMIM:268800						
HGSNAT	1	autosomal dominant	Mucopolysaccharidosis type IIIC (Sanfilippo C) OMIM:252930,OMIM:616544,ORPHA:791	has extraneuronal pathology					
HIBCH	1	BIALLELIC, autosomal or pseudoautosomal	 3-hydroxyisobutryl-CoA hydrolase deficiency ORPHA:88639,OMIM:250620						
HIKESHI	1	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 13, OMIM:616881	might be too slowly progressive					
HPDL	1	autosomal recessive	Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities OMIM:619027,ORPHA:528084,OMIM:619026						
HSD17B4	1	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;D-bifunctional protein deficiency;General Leukodystrophy & Mitochondrial Leukoencephalopathy, Perrault syndrome 1 OMIM:261515,OMIM:233400	CAVE: D-bifunctional protein deficiency not eligible					
HSPB8	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neuropathy, distal hereditary motor, type IIA, OMIM:158590,OMIM:608673						
HSPD1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Leukodystrophy, hypomyelinating, 4, OMIM:612233, Spastic paraplegia 13, autosomal dominant  ORPHA:100994,OMIM:612233,OMIM:605280						
HTRA2	1	BIALLELIC, autosomal or pseudoautosomal	"3-methylglutaconic aciduria, type VIII	617248 OMIM:617248,ORPHA:2828,OMIM:610297"						
IBA57	1	BIALLELIC, autosomal or pseudoautosomal	Multiple mitochondrial dysfunctions syndrome 3, OMIM:615330	death in infancy or early childhood					
IDS	1	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mucopolysaccharidosis II, 309900;MUCOPOLYSACCHARIDOSIS TYPE 2 (MPS2) ORPHA:217085,OMIM:309900,ORPHA:217093	progressive disease/neurodegeneration, extraneuronal manifestations					
IGHMBP2	1	BIALLELIC, autosomal or pseudoautosomal	Neuronopathy, distal hereditary motor, type VI, OMIM:604320,OMIM:616155						
IRF2BPL	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures OMIM:618088;neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures MONDO:0060759	CAVE: gene only has one exon, exon-skipping therapy does not work, just cryptic splicing					
ISCA2	1	BIALLELIC, autosomal or pseudoautosomal	Multiple mitochondrial dysfunctions syndrome 4, 616370						
ITM2B	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dementia, familial British, OMIM:616079,OMIM:176500,OMIM:117300						
JAM3	1	BIALLELIC, autosomal or pseudoautosomal	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts, OMIM:613730	death in early infancy (might be too fast for therapy development)					
JPH1	1	autosomal dominant and autosomal recessive 	?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K OMIM:607831						
KCNC1	1	autosomal dominant	Epilepsy, progressive myoclonic 7 OMIM:616187						
KCNJ10	1	BIALLELIC, autosomal or pseudoautosomal	Seizures, Sensorineural Deafness, Ataxia, Mental Retardation, and Electrolyte Imbalance Syndrome  OMIM:612780,OMIM:600791,ORPHA:705,OMIM:274600,ORPHA:199343						
KCNT1	1	autosomal dominant	Developmental and epileptic encephalopathy 14 ORPHA:98784,OMIM:614959,OMIM:615005						
KCNT2	1	autosomal dominant	Developmental and epileptic encephalopathy 57 OMIM:617771						
KCTD7	1	autsosomal recessive	Epilepsy, progressive myoclonic 3, with or without intracellular inclusions ORPHA:263516,OMIM:611726						
KIAA1161	1	BIALLELIC, autosomal or pseudoautosomal	Autosomal Recessive Primary Familial Brain Calcification;Basal ganglia calcification, idiopathic, 7, autosomal recessive;Calcifications in the basal ganglia ORPHA:791,OMIM:618613						
KIDINS220	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia, intellectual disability, nystagmus, and obesity OMIM:617296,OMIM:619501,ORPHA:521390						
KIF1A	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic paraplegia 30, autosomal dominant, OMIM:610357;Spastic paraplegia 30, autosomal recessive, OMIM:610357;NESCAV syndrome, OMIM:614255 ORPHA:178469,OMIM:614213,OMIM:614255,OMIM:610357,ORPHA:2836,ORPHA:970,ORPHA:101010,OMIM:201300						
KIF5A	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia 10, autosomal dominant  OMIM:604187,OMIM:617235,OMIM:617921,ORPHA:100991	variable age of onset and phenotype					
KMT2B	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Dystonia 28, childhood-onset	617284 OMIM:617284,ORPHA:528084,OMIM:619934"						
L2HGDH	1	BIALLELIC, autosomal or pseudoautosomal	L-2-hydroxyglutaric aciduria, ORPHA:79314,OMIM:236792						
LAMB1	1	BIALLELIC, autosomal or pseudoautosomal	Lissencephaly 5, OMIM:615191,ORPHA:352682						
LARGE1	1	BIALLELIC, autosomal or pseudoautosomal	Congenital Muscular Dystrophy, alpha-dystroglycan related;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type OMIM:236670,OMIM:608840,ORPHA:370968,ORPHA:899,ORPHA:588,OMIM:613154	CAVE: congenital defects cannot be rescued					
LARS2	1	BIALLELIC, autosomal or pseudoautosomal	Perrault syndrome 4, OMIM:615300;Hydrops, lactic acidosis, and sideroblastic anemia, OMIM:617021;Leukodystrophy OMIM:615300,OMIM:617021	PERRAULT SYNDROME 4 progressive with neurodegeneration in adulthood					
LMNB1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Leukodystrophy, adult-onset, autosomal dominant, ORPHA:2514,OMIM:169500,OMIM:619179,ORPHA:99027						
LNPK	1	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with epilepsy and hypoplasia of the corpus callosum 618090						
LYRM7	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex III deficiency, nuclear type 8;615838;leukoencephalopathy and complex III deficiency;severe encephalopathy, lactic acidosis and profound, isolated cIII deficiency in skeletal muscle						
MAN2B1	1	BIALLELIC, autosomal or pseudoautosomal	Mannosidosis, alpha-, types I and II, 248500;LYSOSOMAL ALPHA-MANNOSIDOSIS (AM) ORPHA:309282,OMIM:248500,ORPHA:309288	mental regression					
MCOLN1	1	BIALLELIC, autosomal or pseudoautosomal	"Mucolipidosis IV	OMIM:252650,ORPHA:578"						
MECR	1	BIALLELIC, autosomal or pseudoautosomal	"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities	OMIM:617282"	NBIA					
MED17	1	autosomal recessive	Microcephaly, postnatal progressive, with seizures and brain atrophy OMIM:613668						
MEF2C	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Mental Retardation, Stereotypic Movements, Epilepsy, and/or Cerebral Malformations ORPHA:228384,OMIM:613443						
MFSD2A	1	autosomal recessive	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities OMIM:616486,ORPHA:2512						
MFSD8	1	autosomal recessive	Ceroid lipofuscinosis, neuronal, 7 OMIM:610951,OMIM:616170						
MOCS1	1	autsosomal recessive	Molybdenum cofactor deficiency A OMIM:252150						
MOCS2	1	BIALLELIC, autosomal or pseudoautosomal	Molybdenum cofactor deficiency B OMIM:252160	progressive disorder					
MRE11	1	BIALLELIC, autosomal or pseudoautosomal	Ataxia-Telangiectasia-Like Disorder ;Ataxia-telangiectasia-like disorder  ORPHA:251347,ORPHA:145,OMIM:604391						
MRPS25	1	autosomal recessive	Combined oxidative phosphorylation deficiency 5 OMIM:619025	progressive disordr					
MTTP	1	BIALLELIC, autosomal or pseudoautosomal	Abetalipoproteinemia, 200100 ORPHA:14,OMIM:200100,OMIM:605552	systemic effects					
NAGA	1	autosomal dominant	Schindler disease ORPHA:79279,OMIM:609241,OMIM:609242,ORPHA:79280,ORPHA:79281						
NAGLU	1	autosomal dominant	"Mucopolysaccharidosis type IIIB (Sanfilippo B) and 	?Charcot-Marie-Tooth disease, axonal, type 2V  OMIM:616491,OMIM:252920"						
NALCN	1	autosomal dominant	Hypotonia, infantile, with psychomotor retardation and characteristic facies 1 ORPHA:2053,OMIM:616266,ORPHA:1147,ORPHA:1146,OMIM:615419,ORPHA:371364						
NAXE	1	BIALLELIC, autosomal or pseudoautosomal	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, OMIM:617186						
NDUFA12	1	autosomal recessive	Mitochondrial complex I deficiency, nuclear type 23 ORPHA:255241,OMIM:618244						
NDUFA2	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial leukoencephalopathy ORPHA:255241,OMIM:618235	death in infancy (window of opportunity might be too short)					
NDUFAF2	1	BIALLELIC, autosomal or pseudoautosomal	OMIM:618233,ORPHA:2609,ORPHA:255241						
NDUFS1	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I disorders;Mitochondrial complex I deficiency;Mitochondrial Leukoencephalopathy;General Leukodystrophy & Mitochondrial Leukoencephalopathy;MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I DEFICIENCY ORPHA:2609,ORPHA:255241,OMIM:618226						
NDUFS4	1	BIALLELIC, autosomal or pseudoautosomal	"Leigh syndrome	256000;Mitochondrial complex I deficiency	ORPHA:2609,OMIM:252010,ORPHA:255241"						
NDUFS7	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial respiratory chain complex I deficiency;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Genetic leukoencephalopathies: mitochondrial disorders;Leigh syndrome ORPHA:2609,ORPHA:255241,OMIM:618224						
NDUFS8	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial complex I disorders;Leigh syndrome due to mitochondrial complex I deficiency ORPHA:2609,ORPHA:255241,OMIM:618222						
NDUFV1	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy ORPHA:2609,ORPHA:255241,OMIM:618225						
NEU1	1	autosomal recessive	Sialidosis ORPHA:93399,ORPHA:812,OMIM:256550,ORPHA:93400	progressive but also extraneuronal phenotype					
NHLRC1	1	BIALLELIC, autosomal or pseudoautosomal	"Epilepsy, progressive myoclonic 2B (Lafora)	ORPHA:501,OMIM:254780"						
NKX6-2	1	BIALLELIC, autosomal or pseudoautosomal	Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy, ORPHA:527497,OMIM:617560						
NOTCH2NLC	1	autosomal dominant	Neuronal intranuclear inclusion disease OMIM:603472,OMIM:618866,OMIM:619473,ORPHA:98897,ORPHA:2289						
NPC1	1	BIALLELIC, autosomal or pseudoautosomal	Niemann-Pick disease types C1 and D (#257220)						
NPC2	1	BIALLELIC, autosomal or pseudoautosomal	Niemann-Pick disease type C2 (#607625) 	progressive, but CAVE: respiratory failure					
NRROS	1	BIALLELIC, autosomal or pseudoautosomal	Seizures, early-onset, with neurodegeneration and brain calcification 618875						
NUBPL	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial complex I deficiency ORPHA:2609,OMIM:618242						
NUP62	1	autosomal recessive	Striatonigral degeneration, infantile OMIM:271930,ORPHA:225154						
OPA3	1	BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type III, 258501;Costeff syndrome ORPHA:67036,ORPHA:67047,OMIM:165300,OMIM:258501						
PAFAH1B1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cerebral Malformation Disorders;Lissencephaly 1;Lissencephaly/Subcortical Band Heterotopia ORPHA:531,ORPHA:95232,OMIM:607432,ORPHA:217385						
PANK2	1	BIALLELIC, autosomal or pseudoautosomal	Dystonia;pantothenate kinase-associated neurodegeneration ORPHA:216866,ORPHA:216873,OMIM:234200,OMIM:607236						
PC	1	autosomal recessive	Pyruvate carboxylase deficiency OMIM:266150						
PCDH19	1	X-linked	Developmental and epileptic encephalopathy 9 ORPHA:33069,OMIM:300088,ORPHA:101039						
PCYT2	1	BIALLELIC, autosomal or pseudoautosomal	Complex hereditary spastic paraplegia;Spastic paraplegia 82, autosomal recessive, 618770						
PDGFB	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Basal ganglia calcification, idiopathic, 5, 615483;Fahr syndrome ORPHA:2495,OMIM:607174,OMIM:615483,ORPHA:31112,ORPHA:1980,OMIM:213600						
PDHA1	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pyruvate dehydrogenase E1-alpha deficiency ORPHA:255241,OMIM:312170,ORPHA:79243						
PEX10	1	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;PEROXISOME BIOGENESIS DISORDER COMPLEMENTATION GROUP 7;ZELLWEGER SYNDROME ORPHA:912,ORPHA:247815,OMIM:614870,ORPHA:772,ORPHA:44,OMIM:614871	progressive, extraneuronal manifestations					
PEX16	1	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;Peroxisome biogenesis disorder 8A, (Zellweger);Peroxisome biogenesis disorder 8B;PEROXISOME BIOGENESIS DISORDER COMPLEMENTATION GROUP 9 ORPHA:912,OMIM:614876,ORPHA:772,ORPHA:44,OMIM:614877						
PGAP1	1	BIALLELIC, autosomal or pseudoautosomal	Mental retardation, autosomal recessive 42, ORPHA:401820,OMIM:615802,ORPHA:88616, seizures, sleep disturbance	sometime seizures, progression?					
PHACTR1	1	autosomal dominant	Developmental and epileptic encephalopathy 70 OMIM:618298,ORPHA:3451	progressive?					
PHYH	1	autosomal recessive	OMIM:266500,ORPHA:773	progressive, eye and other neurological symptoms					
PI4KA	1	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis, OMIM:616531,OMIM:619621,OMIM:619708,ORPHA:98889,ORPHA:436252	extraneuronal manifestation					
