Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
BBS1	1	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854	retinal degeneration					
BBS2	1	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 2, 209900;BARDET-BIEDL SYNDROME TYPE 2 (BBS2)	retinal degeneration					
BBS4	1	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 4, 209900;BARDET-BIEDL SYNDROME TYPE 4 (BBS4)	retinal degeneration					
BCAS3	1	BIALLELIC, autosomal or pseudoautosomal	Syndromic neurodevelopmental disorder	regression in some patients					
BCKDHA	1	BIALLELIC, autosomal or pseudoautosomal	Maple syrup urine disease, type Ia 248600						
BCKDHB	1	BIALLELIC, autosomal or pseudoautosomal	Maple syrup urine disease, type Ib 248600	progressive, extraneuronal phenotype, treatment options available					
BEST1	1	autosomal dominant	OMIM:613194,OMIM:193220,ORPHA:99000,ORPHA:791,ORPHA:1243,OMIM:153700,ORPHA:35612,OMIM:611809	different associated disorders					
BSCL2	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Silver spastic paraplegia syndrome, OMIM:270685, 	
ENCEPHALOPATHY, PROGRESSIVE, WITH OR WITHOUT LIPODYSTROPHY; PELD"	SP slowly progressive					
C12orf57	1	BIALLELIC, autosomal or pseudoautosomal	Temtamy syndrome 218340	progressive disorder, cognitive decline					
C19orf12	1	BIALLELIC, autosomal or pseudoautosomal	Dystonia;mitochondrial membrane protein-associated neurodegeneration;neurodegeneration with brain iron accumulation-4						
C1QTNF5	1	autosomal dominant	OMIM:605670,ORPHA:67042 Retinal degeneration, late-onset, autosomal dominant						
CA4	1		ORPHA:791 Retinitis pigmentosa						
CACNA1A	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Episodic ataxia, type 2, OMIM:108500;Migraine, familial hemiplegic, 1, OMIM:141500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500						
CACNA1B	1	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with seizures and nonepileptic hyperkinetic movements, 618497;Global developmental delay;Developmental regression;Seizures;Intellectual disability;Abnormality of movement;Progressive Epilepsy-Dyskinesia	developmental regression					
CACNA1E	1	autosomal dominant	Developmental and epileptic encephalopathy 69						
CACNA2D1	1	autosomal recessive	"ORPHA:130,ORPHA:442835,ORPHA:51083 	Developmental and epileptic encephalopathy 110"						
CAD	1	autosomal recessive	Developmental and epileptic encephalopathy 50	additional hematological phenotype					
CADM3	1	autosomal dominant	"OMIM:619519 	Charcot-Marie-Tooth disease, axonal, type 2FF"						
CAMLG	1	autosomal recessive	Congenital disorder of glycosylation, type Iiz	developmental regression					
CARS2	1	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 27, 616672	progressive, also extraneuronal manifestations					
CCDC28B	1	autosomal recessive	OMIM:209900	retinal degeneration					
CDK19	1	autosomal dominant	Developmental and epileptic encephalopathy 87 OMIM:618916,ORPHA:442835						
CDKL5	1	X-linked dominant	Developmental and epileptic encephalopathy 2 ORPHA:1934,ORPHA:505652,ORPHA:3095,OMIM:300672,ORPHA:3451						
CEP290	1	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 5, 610188Senior-Loken syndrome 6, 610189Leber congenital amaurosis 10, 611755Meckel syndrome 4, 611134Bardet-Biedl syndrome 14, 209900;BARDET-BIEDL SYNDROME TYPE 14 (BBS14) OMIM:610189,ORPHA:564,ORPHA:2318,OMIM:611134,OMIM:615991,OMIM:610188,ORPHA:65,OMIM:611755,ORPHA:110,ORPHA:3156						
CHD2	1	autosomal dominant	Developmental and epileptic encephalopathy 94 ORPHA:1942,OMIM:615369,ORPHA:2382						
CHMP2B	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Frontotemporal Dementia;Dementia, familial, nonspecific, 600795Amyotrophic lateral sclerosis 17, 614696 OMIM:600795,ORPHA:100070,ORPHA:803,ORPHA:275864,ORPHA:100069						
CIC	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Mental retardation, autosomal dominant 45 617600 ORPHA:178469,OMIM:617600	developmental regression					
CLCN2	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with ataxia, OMIM:615651 OMIM:605635,OMIM:615651,ORPHA:404,ORPHA:307,OMIM:607628						
CLN3	1	autosomal recessive	Ceroid lipofuscinosis, neuronal, 3 OMIM:204200						
CLN5	1	autosomal recessive	Ceroid lipofuscinosis, neuronal, 5 ORPHA:228360,OMIM:256731						
CLN6	1	BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 6, 601780;Ceroid lipofuscinosis, neuronal, Kufs type, adult onset, 204300 OMIM:204300,OMIM:601780						
CLN8	1	autosomal recessive	Ceroid lipofuscinosis, neuronal, 8 ORPHA:1947,OMIM:610003,OMIM:600143						
CLP1	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia 10 OMIM:615803;Pontocerebellar hypoplasia type 10 MONDO:0014349 ORPHA:411493,OMIM:615803						
